2025-04-10T15:29:40.133+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] m.ProjectMusicStreamingSystemApplication : Starting ProjectMusicStreamingSystemApplication using Java 17 with PID 28556 (C:\Users\cravindra\Documents\workspace-spring-tool-suite-4-4.26.0.RELEASE\project-Music-Streaming-System-New\target\classes started by cravindra in C:\Users\cravindra\Documents\workspace-spring-tool-suite-4-4.26.0.RELEASE\project-Music-Streaming-System-New)
2025-04-10T15:29:40.142+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] m.ProjectMusicStreamingSystemApplication : No active profile set, falling back to 1 default profile: "default"
2025-04-10T15:29:40.218+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-04-10T15:29:40.219+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-04-10T15:29:41.042+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-10T15:29:41.148+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 95 ms. Found 12 JPA repository interfaces.
2025-04-10T15:29:41.953+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-04-10T15:29:41.969+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-04-10T15:29:41.970+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-04-10T15:29:42.053+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-04-10T15:29:42.054+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1833 ms
2025-04-10T15:29:42.340+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-10T15:29:42.449+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.6.4.Final
2025-04-10T15:29:42.503+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2025-04-10T15:29:42.744+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-04-10T15:29:42.783+05:30  INFO 28556 --- [project-Music-Streaming-System-New] [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
